Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH2
-2.336e-03,-4
-2.304e-03,-4
-2.272e-03,-3.96
-2.240e-03,-3.96
-2.208e-03,-3.92
-2.176e-03,-3.92
-2.144e-03,-3.92
-2.112e-03,-3.88
-2.080e-03,-3.84
-2.048e-03,-3.84
-2.016e-03,-3.8
-1.984e-03,-3.8
-1.952e-03,-3.76
-1.920e-03,-3.72
-1.888e-03,-3.72
-1.856e-03,-3.68
-1.824e-03,-3.64
-1.792e-03,-3.6
-1.760e-03,-3.56
-1.728e-03,-3.52
-1.696e-03,-3.48
-1.664e-03,-3.44
-1.632e-03,-3.4
-1.600e-03,-3.36
-1.568e-03,-3.32
-1.536e-03,-3.28
-1.504e-03,-3.24
-1.472e-03,-3.16
-1.440e-03,-3.12
-1.408e-03,-3.08
-1.376e-03,-3.04
-1.344e-03,-3
-1.312e-03,-2.92
-1.280e-03,-2.88
-1.248e-03,-2.8
-1.216e-03,-2.72
-1.184e-03,-2.68
-1.152e-03,-2.6
-1.120e-03,-2.56
-1.088e-03,-2.48
-1.056e-03,-2.44
-1.024e-03,-2.36
-9.920e-04,-2.28
-9.600e-04,-2.24
-9.280e-04,-2.2
-8.960e-04,-2.08
-8.640e-04,-2.04
-8.320e-04,-1.96
-8.000e-04,-1.88
-7.680e-04,-1.84
-7.360e-04,-1.72
-7.040e-04,-1.68
-6.720e-04,-1.6
-6.400e-04,-1.52
-6.080e-04,-1.44
-5.760e-04,-1.4
-5.440e-04,-1.32
-5.120e-04,-1.24
-4.800e-04,-1.16
-4.480e-04,-1.08
-4.160e-04,-1
-3.840e-04,-0.92
-3.520e-04,-0.84
-3.200e-04,-0.76
-2.880e-04,-0.68
-2.560e-04,-0.6
-2.240e-04,-0.52
-1.920e-04,-0.44
-1.600e-04,-0.36
-1.280e-04,-0.28
-9.600e-05,-0.2
-6.400e-05,-0.12
-3.200e-05,-0.04
4.880e-16,0.04
3.200e-05,0.12
6.400e-05,0.2
9.600e-05,0.28
1.280e-04,0.36
1.600e-04,0.44
1.920e-04,0.52
2.240e-04,0.6
2.560e-04,0.68
2.880e-04,0.76
3.200e-04,0.84
3.520e-04,0.88
3.840e-04,0.96
4.160e-04,1.08
4.480e-04,1.16
4.800e-04,1.24
5.120e-04,1.28
5.440e-04,1.36
5.760e-04,1.44
6.080e-04,1.52
6.400e-04,1.6
6.720e-04,1.64
7.040e-04,1.72
7.360e-04,1.8
7.680e-04,1.88
8.000e-04,1.96
8.320e-04,2.04
8.640e-04,2.12
8.960e-04,2.16
9.280e-04,2.24
9.600e-04,2.28
9.920e-04,2.36
1.024e-03,2.44
1.056e-03,2.48
1.088e-03,2.56
1.120e-03,2.6
1.152e-03,2.68
1.184e-03,2.76
1.216e-03,2.8
1.248e-03,2.84
1.280e-03,2.92
1.312e-03,2.96
1.344e-03,3.04
1.376e-03,3.08
1.408e-03,3.12
1.440e-03,3.2
1.472e-03,3.24
1.504e-03,3.28
1.536e-03,3.32
1.568e-03,3.36
1.600e-03,3.4
1.632e-03,3.44
1.664e-03,3.52
1.696e-03,3.56
1.728e-03,3.6
1.760e-03,3.6
1.792e-03,3.64
1.824e-03,3.68
1.856e-03,3.72
1.888e-03,3.76
1.920e-03,3.76
1.952e-03,3.8
1.984e-03,3.8
2.016e-03,3.84
2.048e-03,3.88
2.080e-03,3.92
2.112e-03,3.92
2.144e-03,3.92
2.176e-03,3.96
2.208e-03,3.96
2.240e-03,3.96
2.272e-03,4
2.304e-03,4
